id_transaccion,fecha,hora,cajero,cedula_cliente,nombre_cliente,subtotal,iva,total,metodo_pago,estado,valida_hasta
TX-0032,2025-06-11,14:38:58,Cajero_01,2122710895,Gabriel Cabrera Gonzalez,11.6,1.39,12.99,Efectivo,COMPLETADA,2026-06-11
TX-0033,2025-06-12,09:06:04,Cajero_01,0655573147,Veronica Herrera Garcia,17.2,2.06,19.26,QR,COMPLETADA,2026-06-12
TX-0034,2025-06-14,11:22:32,Cajero_01,0430649691,Andres Perez Pacheco,11.95,1.43,13.38,Transferencia,COMPLETADA,2026-06-14
TX-0035,2025-06-15,09:01:46,Cajero_01,1800848731,Elena Carrillo Carrillo,12.8,1.54,14.34,Efectivo,COMPLETADA,2026-06-15
TX-0036,2025-06-15,12:30:25,Cajero_01,0412684052,Carmen Cabrera Rodriguez,10.5,1.26,11.76,Efectivo,COMPLETADA,2026-06-15
TX-0037,2025-06-15,13:35:08,Cajero_01,1449162579,Claudia Jimenez Carrillo,6.6,0.79,7.39,Efectivo,COMPLETADA,2026-06-15
TX-0038,2025-06-17,16:18:00,Cajero_01,0432237058,Ana Lucia Vargas Torres,0.8,0.1,0.9,Tarjeta,COMPLETADA,2026-06-17
TX-0039,2025-06-19,17:58:54,Cajero_01,0627761611,Nicolas Gonzalez Herrera,2.2,0.26,2.46,Transferencia,COMPLETADA,2026-06-19
TX-0040,2025-06-19,20:24:07,Cajero_01,1905825112,Vanessa Pacheco Lopez,3.6,0.43,4.03,QR,COMPLETADA,2026-06-19
TX-0041,2025-06-22,09:38:43,Cajero_01,1734013879,Andres Cabrera Cabrera,10.0,1.2,11.2,Efectivo,COMPLETADA,2026-06-22
TX-0042,2025-06-24,10:21:20,Cajero_01,2009416129,Valeria Torres Castro,8.0,0.96,8.96,Tarjeta,COMPLETADA,2026-06-24
TX-0043,2025-06-25,17:07:20,Cajero_01,1544667265,Marco Herrera Torres,6.3,0.76,7.06,Efectivo,COMPLETADA,2026-06-25
TX-0044,2025-06-27,20:09:10,Cajero_01,0859418194,Patricia Ramirez Gonzalez,22.4,2.69,25.09,Tarjeta,COMPLETADA,2026-06-27
TX-0045,2025-06-29,16:05:39,Cajero_01,1832592974,Roberto Morales Cabrera,19.5,2.34,21.84,QR,COMPLETADA,2026-06-29
TX-0046,2025-06-29,19:04:44,Cajero_01,0124813613,Sebastian Vargas Delgado,9.25,1.11,10.36,QR,COMPLETADA,2026-06-29
TX-0047,2025-07-02,13:32:16,Cajero_01,1832592974,Roberto Morales Cabrera,5.4,0.65,6.05,Tarjeta,COMPLETADA,2026-07-02
TX-0048,2025-07-07,08:44:34,Cajero_01,0303823498,Cristian Sanchez Molina,2.6,0.31,2.91,QR,COMPLETADA,2026-07-07
TX-0049,2025-07-07,17:05:51,Cajero_01,1641221854,Juan Carlos Rodriguez Torres,4.2,0.5,4.7,Efectivo,COMPLETADA,2026-07-07
TX-0050,2025-07-08,09:12:33,Cajero_01,1017351517,Veronica Torres Morales,7.2,0.86,8.06,Efectivo,COMPLETADA,2026-07-08
TX-0051,2025-07-08,16:39:20,Cajero_01,1938002392,Raul Garcia Carrillo,13.7,1.64,15.34,Efectivo,COMPLETADA,2026-07-08
TX-0052,2025-07-08,18:27:05,Cajero_01,0223761823,Maria Jose Reyes Vargas,9.1,1.09,10.19,Efectivo,COMPLETADA,2026-07-08
TX-0053,2025-07-10,08:51:53,Cajero_01,2022090865,Laura Aguirre Rivera,25.75,3.09,28.84,Efectivo,COMPLETADA,2026-07-10
TX-0054,2025-07-10,15:51:11,Cajero_01,1641221854,Juan Carlos Rodriguez Torres,2.9,0.35,3.25,Efectivo,COMPLETADA,2026-07-10
TX-0055,2025-07-14,10:09:34,Cajero_01,1815440561,Andres Aguirre Suarez,6.6,0.79,7.39,QR,COMPLETADA,2026-07-14
TX-0056,2025-07-14,19:51:39,Cajero_01,0327563202,Camila Carrillo Torres,17.25,2.07,19.32,Transferencia,COMPLETADA,2026-07-14
TX-0057,2025-07-15,10:57:28,Cajero_01,0223761823,Maria Jose Reyes Vargas,9.0,1.08,10.08,Tarjeta,COMPLETADA,2026-07-15
TX-0058,2025-07-17,19:47:42,Cajero_01,0344918715,Rosa Aguirre Jimenez,3.9,0.47,4.37,Efectivo,COMPLETADA,2026-07-17
TX-0059,2025-07-19,11:26:40,Cajero_01,0447290770,Cristian Ramirez Rodriguez,4.0,0.48,4.48,QR,COMPLETADA,2026-07-19
TX-0060,2025-07-19,19:42:24,Cajero_01,0443656838,Patricia Ortega Vega,6.75,0.81,7.56,QR,COMPLETADA,2026-07-19
TX-0061,2025-07-20,13:40:38,Cajero_01,0223761823,Maria Jose Reyes Vargas,1.2,0.14,1.34,Transferencia,COMPLETADA,2026-07-20
TX-0062,2025-07-21,14:48:32,Cajero_01,0433671545,Raul Garcia Medina,14.4,1.73,16.13,Transferencia,COMPLETADA,2026-07-21
TX-0063,2025-07-22,17:05:53,Cajero_01,0409281552,Veronica Gonzalez Ramirez,3.5,0.42,3.92,Tarjeta,COMPLETADA,2026-07-22
TX-0064,2025-07-22,19:19:33,Cajero_01,0627761611,Nicolas Gonzalez Herrera,6.1,0.73,6.83,Efectivo,COMPLETADA,2026-07-22
TX-0065,2025-07-28,16:15:15,Cajero_01,0347078673,Oscar Medina Vargas,12.0,1.44,13.44,Transferencia,COMPLETADA,2026-07-28
TX-0066,2025-07-29,18:27:11,Cajero_01,0412684052,Carmen Cabrera Rodriguez,19.3,2.32,21.62,Efectivo,COMPLETADA,2026-07-29
TX-0067,2025-07-30,13:13:54,Cajero_01,1114456272,Diego Vega Molina,8.9,1.07,9.97,Transferencia,COMPLETADA,2026-07-30
TX-0068,2025-07-31,11:46:36,Cajero_01,1343188992,Vanessa Castro Lopez,11.5,1.38,12.88,Efectivo,COMPLETADA,2026-07-31
TX-0069,2025-08-01,14:50:06,Cajero_01,1504159166,Paola Medina Castro,10.9,1.31,12.21,Tarjeta,COMPLETADA,2026-08-01
TX-0070,2025-08-03,17:57:09,Cajero_01,1837799287,Victor Ramirez Guerrero,4.5,0.54,5.04,Efectivo,COMPLETADA,2026-08-03
TX-0071,2025-08-04,16:50:51,Cajero_01,0655573147,Veronica Herrera Garcia,10.5,1.26,11.76,Tarjeta,COMPLETADA,2026-08-04
TX-0072,2025-08-05,19:04:56,Cajero_01,1108293086,Javier Vega Jimenez,8.0,0.96,8.96,Efectivo,COMPLETADA,2026-08-05
TX-0073,2025-08-06,17:15:56,Cajero_01,0124813613,Sebastian Vargas Delgado,11.5,1.38,12.88,Efectivo,COMPLETADA,2026-08-06
TX-0074,2025-08-07,10:30:47,Cajero_01,1430908841,Mateo Morales Herrera,4.4,0.53,4.93,Transferencia,COMPLETADA,2026-08-07
TX-0075,2025-08-07,20:01:44,Cajero_01,1104171761,Rosa Rodriguez Jimenez,2.6,0.31,2.91,Efectivo,COMPLETADA,2026-08-07
TX-0076,2025-08-12,08:32:20,Cajero_01,0347078673,Oscar Medina Vargas,7.5,0.9,8.4,Tarjeta,COMPLETADA,2026-08-12
TX-0077,2025-08-14,09:44:40,Cajero_01,2244476583,Laura Reyes Lopez,5.2,0.62,5.82,QR,COMPLETADA,2026-08-14
TX-0078,2025-08-14,10:55:18,Cajero_01,1938002392,Raul Garcia Carrillo,13.7,1.64,15.34,Transferencia,COMPLETADA,2026-08-14
TX-0079,2025-08-15,09:00:32,Cajero_01,0159304682,Ivan Suarez Castro,0.8,0.1,0.9,QR,COMPLETADA,2026-08-15
TX-0080,2025-08-15,09:31:10,Cajero_01,1800848731,Elena Carrillo Carrillo,14.35,1.72,16.07,Efectivo,COMPLETADA,2026-08-15
TX-0081,2025-08-16,14:17:31,Cajero_01,1905825112,Vanessa Pacheco Lopez,3.9,0.47,4.37,Efectivo,COMPLETADA,2026-08-16
TX-0082,2025-08-17,11:38:13,Cajero_01,0843694634,Juan Carlos Romero Vargas,14.7,1.76,16.46,Efectivo,COMPLETADA,2026-08-17
TX-0083,2025-08-18,14:55:52,Cajero_01,1820463060,Natalia Vega Delgado,14.8,1.78,16.58,Tarjeta,COMPLETADA,2026-08-18
TX-0084,2025-08-20,17:29:03,Cajero_01,0744449324,Roberto Martinez Vargas,6.75,0.81,7.56,Tarjeta,COMPLETADA,2026-08-20
TX-0085,2025-08-23,16:12:42,Cajero_01,1403470105,Camila Vargas Mendoza,1.5,0.18,1.68,Transferencia,COMPLETADA,2026-08-23
TX-0086,2025-08-25,16:20:49,Cajero_01,1853305700,Mateo Garcia Castro,3.5,0.42,3.92,QR,COMPLETADA,2026-08-25
TX-0087,2025-08-26,12:26:21,Cajero_01,0347078673,Oscar Medina Vargas,9.4,1.13,10.53,Tarjeta,COMPLETADA,2026-08-26
TX-0088,2025-08-27,11:41:16,Cajero_01,0455007072,Claudia Perez Castro,10.55,1.27,11.82,Efectivo,COMPLETADA,2026-08-27
TX-0089,2025-08-27,12:07:41,Cajero_01,0344918715,Rosa Aguirre Jimenez,4.8,0.58,5.38,Tarjeta,COMPLETADA,2026-08-27
TX-0090,2025-08-28,10:42:03,Cajero_01,0447290770,Cristian Ramirez Rodriguez,1.3,0.16,1.46,Efectivo,COMPLETADA,2026-08-28
TX-0091,2025-08-29,08:49:41,Cajero_01,1905825112,Vanessa Pacheco Lopez,4.3,0.52,4.82,Tarjeta,COMPLETADA,2026-08-29
TX-0092,2025-08-30,14:52:42,Cajero_01,0904682940,Diego Jimenez Rivera,9.6,1.15,10.75,Efectivo,COMPLETADA,2026-08-30
TX-0093,2025-09-01,13:39:16,Cajero_01,1837799287,Victor Ramirez Guerrero,3.0,0.36,3.36,Tarjeta,COMPLETADA,2026-09-01
TX-0094,2025-09-02,16:36:05,Cajero_01,1634348512,Veronica Perez Reyes,4.9,0.59,5.49,Efectivo,COMPLETADA,2026-09-02
TX-0095,2025-09-03,09:15:34,Cajero_01,1449162579,Claudia Jimenez Carrillo,11.3,1.36,12.66,QR,COMPLETADA,2026-09-03
TX-0096,2025-09-03,10:44:55,Cajero_01,1938002392,Raul Garcia Carrillo,22.2,2.66,24.86,Transferencia,COMPLETADA,2026-09-03
TX-0097,2025-09-04,18:45:26,Cajero_01,0207106422,Veronica Aguirre Carrillo,15.9,1.91,17.81,QR,COMPLETADA,2026-09-04
TX-0098,2025-09-06,16:59:04,Cajero_01,0434663623,Silvia Torres Carrillo,16.0,1.92,17.92,Transferencia,COMPLETADA,2026-09-06
TX-0099,2025-09-09,18:14:53,Cajero_01,1100156287,Monica Flores Mendoza,5.2,0.62,5.82,Transferencia,COMPLETADA,2026-09-09
TX-0100,2025-09-10,14:07:51,Cajero_01,0209800873,Luis Miguel Reyes Rivera,1.8,0.22,2.02,Efectivo,COMPLETADA,2026-09-10
TX-0101,2025-09-12,19:18:57,Cajero_01,1336705062,Jessica Sanchez Molina,3.4,0.41,3.81,Efectivo,COMPLETADA,2026-09-12
TX-0102,2025-09-13,08:53:08,Cajero_01,0315207974,Monica Guerrero Rivera,8.7,1.04,9.74,Efectivo,COMPLETADA,2026-09-13
TX-0103,2025-09-13,13:20:06,Cajero_01,0223761823,Maria Jose Reyes Vargas,4.5,0.54,5.04,Efectivo,COMPLETADA,2026-09-13
TX-0104,2025-09-13,16:09:49,Cajero_01,0754479144,Fernando Morales Morales,1.15,0.14,1.29,Efectivo,COMPLETADA,2026-09-13
TX-0105,2025-09-13,19:26:14,Cajero_01,1114456272,Diego Vega Molina,1.3,0.16,1.46,QR,COMPLETADA,2026-09-13
TX-0106,2025-09-14,19:52:05,Cajero_01,1223818418,Beatriz Aguirre Mendoza,2.1,0.25,2.35,Efectivo,COMPLETADA,2026-09-14
TX-0107,2025-09-17,08:14:07,Cajero_01,1606523941,Pablo Ramirez Herrera,5.7,0.68,6.38,Transferencia,COMPLETADA,2026-09-17
TX-0108,2025-09-17,08:22:45,Cajero_01,0303823498,Cristian Sanchez Molina,2.5,0.3,2.8,Efectivo,COMPLETADA,2026-09-17
TX-0109,2025-09-17,13:08:09,Cajero_01,1403470105,Camila Vargas Mendoza,7.6,0.91,8.51,Efectivo,COMPLETADA,2026-09-17
TX-0110,2025-09-18,09:37:15,Cajero_01,1950454696,Manuel Jimenez Romero,23.1,2.77,25.87,Tarjeta,COMPLETADA,2026-09-18
TX-0111,2025-09-18,10:37:48,Cajero_01,1832592974,Roberto Morales Cabrera,14.0,1.68,15.68,Tarjeta,COMPLETADA,2026-09-18
TX-0112,2025-09-19,14:12:28,Cajero_01,0209800873,Luis Miguel Reyes Rivera,19.1,2.29,21.39,Efectivo,COMPLETADA,2026-09-19
TX-0113,2025-09-19,19:22:08,Cajero_01,0628852897,Laura Ortega Vargas,10.2,1.22,11.42,Transferencia,COMPLETADA,2026-09-19
TX-0114,2025-09-21,09:54:07,Cajero_01,0432237058,Ana Lucia Vargas Torres,5.1,0.61,5.71,Transferencia,COMPLETADA,2026-09-21
TX-0115,2025-09-26,13:12:01,Cajero_01,1527096887,Manuel Pacheco Pacheco,9.0,1.08,10.08,Efectivo,COMPLETADA,2026-09-26
TX-0116,2025-09-28,18:00:37,Cajero_01,0311149597,Gabriela Rodriguez Castro,6.7,0.8,7.5,Efectivo,COMPLETADA,2026-09-28
TX-0117,2025-09-29,14:57:08,Cajero_01,2038877065,Jose Antonio Jimenez Jimenez,9.6,1.15,10.75,Transferencia,COMPLETADA,2026-09-29
TX-0118,2025-10-02,16:02:45,Cajero_01,0843694634,Juan Carlos Romero Vargas,7.2,0.86,8.06,QR,COMPLETADA,2026-10-02
TX-0119,2025-10-04,10:53:08,Cajero_01,1108293086,Javier Vega Jimenez,3.55,0.43,3.98,Tarjeta,COMPLETADA,2026-10-04
TX-0120,2025-10-07,08:41:28,Cajero_01,0758375710,Alejandro Molina Rivera,4.5,0.54,5.04,Efectivo,COMPLETADA,2026-10-07
TX-0121,2025-10-09,14:43:37,Cajero_01,0628852897,Laura Ortega Vargas,8.4,1.01,9.41,Efectivo,COMPLETADA,2026-10-09
TX-0122,2025-10-10,11:07:09,Cajero_01,2111709620,Cristian Molina Delgado,9.0,1.08,10.08,Efectivo,COMPLETADA,2026-10-10
TX-0123,2025-10-11,16:28:39,Cajero_01,0904682940,Diego Jimenez Rivera,1.8,0.22,2.02,QR,COMPLETADA,2026-10-11
TX-0124,2025-10-15,11:43:16,Cajero_01,0810341919,Luis Miguel Cabrera Garcia,5.1,0.61,5.71,Efectivo,COMPLETADA,2026-10-15
TX-0125,2025-10-16,16:05:05,Cajero_01,1950454696,Manuel Jimenez Romero,7.75,0.93,8.68,Efectivo,COMPLETADA,2026-10-16
TX-0126,2025-10-17,19:13:15,Cajero_01,0327563202,Camila Carrillo Torres,3.0,0.36,3.36,Efectivo,COMPLETADA,2026-10-17
TX-0127,2025-10-18,11:48:51,Cajero_01,0415218367,Fernando Guerrero Guerrero,3.2,0.38,3.58,Tarjeta,COMPLETADA,2026-10-18
TX-0128,2025-10-18,17:02:37,Cajero_01,0207106422,Veronica Aguirre Carrillo,1.5,0.18,1.68,Efectivo,COMPLETADA,2026-10-18
TX-0129,2025-10-19,16:20:12,Cajero_01,1800848731,Elena Carrillo Carrillo,8.4,1.01,9.41,Transferencia,COMPLETADA,2026-10-19
TX-0130,2025-10-20,12:01:28,Cajero_01,1853305700,Mateo Garcia Castro,7.85,0.94,8.79,Efectivo,COMPLETADA,2026-10-20
TX-0131,2025-10-20,15:24:23,Cajero_01,2038877065,Jose Antonio Jimenez Jimenez,20.0,2.4,22.4,Efectivo,COMPLETADA,2026-10-20
TX-0132,2025-10-21,18:35:18,Cajero_01,1017351517,Veronica Torres Morales,13.5,1.62,15.12,Efectivo,COMPLETADA,2026-10-21
TX-0133,2025-10-25,19:22:51,Cajero_01,0859418194,Patricia Ramirez Gonzalez,6.3,0.76,7.06,Efectivo,COMPLETADA,2026-10-25
TX-0134,2025-10-25,20:59:36,Cajero_01,1114456272,Diego Vega Molina,8.5,1.02,9.52,QR,COMPLETADA,2026-10-25
TX-0135,2025-10-26,11:45:04,Cajero_01,1815440561,Andres Aguirre Suarez,5.4,0.65,6.05,Efectivo,COMPLETADA,2026-10-26
TX-0136,2025-10-26,17:52:23,Cajero_01,1537418210,Vanessa Suarez Rivera,7.1,0.85,7.95,Efectivo,COMPLETADA,2026-10-26
TX-0137,2025-10-26,20:31:04,Cajero_01,2249482934,Vanessa Martinez Herrera,3.0,0.36,3.36,Transferencia,COMPLETADA,2026-10-26
TX-0138,2025-10-30,12:52:50,Cajero_01,0430649691,Andres Perez Pacheco,1.5,0.18,1.68,Efectivo,COMPLETADA,2026-10-30
TX-0139,2025-10-30,19:50:46,Cajero_01,2122710895,Gabriel Cabrera Gonzalez,5.0,0.6,5.6,Efectivo,COMPLETADA,2026-10-30
TX-0140,2025-10-31,14:16:56,Cajero_01,1633194548,Melissa Torres Pacheco,5.9,0.71,6.61,Efectivo,COMPLETADA,2026-10-31
TX-0141,2025-11-03,08:57:31,Cajero_01,0742219824,Andres Vega Ortega,8.7,1.04,9.74,Tarjeta,COMPLETADA,2026-11-03
TX-0142,2025-11-04,11:41:27,Cajero_01,1017351517,Veronica Torres Morales,13.45,1.61,15.06,QR,COMPLETADA,2026-11-04
TX-0143,2025-11-05,16:13:57,Cajero_01,1552566765,Fernanda Morales Suarez,4.95,0.59,5.54,QR,COMPLETADA,2026-11-05
TX-0144,2025-11-08,19:18:54,Cajero_01,0628852897,Laura Ortega Vargas,5.3,0.64,5.94,QR,COMPLETADA,2026-11-08
TX-0145,2025-11-08,19:30:59,Cajero_01,0303823498,Cristian Sanchez Molina,8.4,1.01,9.41,Efectivo,COMPLETADA,2026-11-08
TX-0146,2025-11-09,19:04:37,Cajero_01,0327563202,Camila Carrillo Torres,23.6,2.83,26.43,Efectivo,COMPLETADA,2026-11-09
TX-0147,2025-11-12,19:52:56,Cajero_01,0723652414,Diana Ortega Gonzalez,8.1,0.97,9.07,Efectivo,COMPLETADA,2026-11-12
TX-0148,2025-11-15,09:01:07,Cajero_01,1430908841,Mateo Morales Herrera,16.1,1.93,18.03,Tarjeta,COMPLETADA,2026-11-15
TX-0149,2025-11-15,13:11:45,Cajero_01,0604364698,Patricia Carrillo Mendoza,16.1,1.93,18.03,Tarjeta,COMPLETADA,2026-11-15
TX-0150,2025-11-19,14:24:12,Cajero_01,0859418194,Patricia Ramirez Gonzalez,7.2,0.86,8.06,Transferencia,COMPLETADA,2026-11-19
TX-0151,2025-11-21,10:22:55,Cajero_01,0415218367,Fernando Guerrero Guerrero,4.2,0.5,4.7,Efectivo,COMPLETADA,2026-11-21
TX-0152,2025-11-22,10:34:27,Cajero_01,0223761823,Maria Jose Reyes Vargas,7.15,0.86,8.01,Efectivo,COMPLETADA,2026-11-22
TX-0153,2025-11-23,09:17:53,Cajero_01,1537418210,Vanessa Suarez Rivera,1.2,0.14,1.34,Efectivo,COMPLETADA,2026-11-23
TX-0154,2025-11-23,16:43:44,Cajero_01,1537418210,Vanessa Suarez Rivera,3.6,0.43,4.03,Efectivo,COMPLETADA,2026-11-23
TX-0155,2025-11-24,14:01:19,Cajero_01,0159304682,Ivan Suarez Castro,4.4,0.53,4.93,Tarjeta,COMPLETADA,2026-11-24
TX-0156,2025-11-24,18:06:04,Cajero_01,1800848731,Elena Carrillo Carrillo,16.8,2.02,18.82,Transferencia,COMPLETADA,2026-11-24
TX-0157,2025-11-25,09:00:38,Cajero_01,0209800873,Luis Miguel Reyes Rivera,0.5,0.06,0.56,Transferencia,COMPLETADA,2026-11-25
TX-0158,2025-11-27,20:43:47,Cajero_01,0455007072,Claudia Perez Castro,3.75,0.45,4.2,Transferencia,COMPLETADA,2026-11-27
TX-0159,2025-11-30,20:13:04,Cajero_01,1548468772,Marco Guerrero Rivera,8.0,0.96,8.96,QR,COMPLETADA,2026-11-30
TX-0160,2025-12-01,10:30:30,Cajero_01,1114428914,Javier Sanchez Molina,10.1,1.21,11.31,Tarjeta,COMPLETADA,2026-12-01
TX-0161,2025-12-01,13:52:51,Cajero_01,2122710895,Gabriel Cabrera Gonzalez,13.15,1.58,14.73,Tarjeta,COMPLETADA,2026-12-01
TX-0162,2025-12-02,08:20:44,Cajero_01,1527096887,Manuel Pacheco Pacheco,4.2,0.5,4.7,Efectivo,COMPLETADA,2026-12-02
TX-0163,2025-12-03,14:12:38,Cajero_01,1224017343,Melissa Garcia Lopez,4.0,0.48,4.48,QR,COMPLETADA,2026-12-03
TX-0164,2025-12-05,15:30:16,Cajero_01,0159304682,Ivan Suarez Castro,12.5,1.5,14.0,QR,COMPLETADA,2026-12-05
TX-0165,2025-12-07,11:36:55,Cajero_01,1100156287,Monica Flores Mendoza,13.4,1.61,15.01,Efectivo,COMPLETADA,2026-12-07
TX-0166,2025-12-07,20:50:55,Cajero_01,2122710895,Gabriel Cabrera Gonzalez,8.1,0.97,9.07,Efectivo,COMPLETADA,2026-12-07
TX-0167,2025-12-10,12:23:35,Cajero_01,1403470105,Camila Vargas Mendoza,16.8,2.02,18.82,Efectivo,COMPLETADA,2026-12-10
TX-0168,2025-12-10,14:23:27,Cajero_01,0755229731,Manuel Vargas Cabrera,1.0,0.12,1.12,Transferencia,COMPLETADA,2026-12-10
TX-0169,2025-12-10,20:32:20,Cajero_01,0223761823,Maria Jose Reyes Vargas,3.1,0.37,3.47,Tarjeta,COMPLETADA,2026-12-10
TX-0170,2025-12-12,08:34:07,Cajero_01,1114456272,Diego Vega Molina,8.1,0.97,9.07,Tarjeta,COMPLETADA,2026-12-12
TX-0171,2025-12-12,12:04:32,Cajero_01,1527096887,Manuel Pacheco Pacheco,15.2,1.82,17.02,Tarjeta,COMPLETADA,2026-12-12
TX-0172,2025-12-12,19:39:37,Cajero_01,0843694634,Juan Carlos Romero Vargas,8.75,1.05,9.8,Efectivo,COMPLETADA,2026-12-12
TX-0173,2025-12-16,10:30:12,Cajero_01,1134960271,Santiago Vega Herrera,10.4,1.25,11.65,Transferencia,COMPLETADA,2026-12-16
TX-0174,2025-12-16,16:34:24,Cajero_01,0159304682,Ivan Suarez Castro,16.95,2.03,18.98,Efectivo,COMPLETADA,2026-12-16
TX-0175,2025-12-18,17:38:20,Cajero_01,2111709620,Cristian Molina Delgado,2.8,0.34,3.14,Efectivo,COMPLETADA,2026-12-18
TX-0176,2025-12-19,12:42:32,Cajero_01,2122710895,Gabriel Cabrera Gonzalez,25.0,3.0,28.0,Efectivo,COMPLETADA,2026-12-19
TX-0177,2025-12-19,16:50:42,Cajero_01,1552566765,Fernanda Morales Suarez,3.0,0.36,3.36,QR,COMPLETADA,2026-12-19
TX-0178,2025-12-20,10:00:41,Cajero_01,0159304682,Ivan Suarez Castro,4.8,0.58,5.38,Tarjeta,COMPLETADA,2026-12-20
TX-0179,2025-12-21,10:34:22,Cajero_01,1017351517,Veronica Torres Morales,11.8,1.42,13.22,Efectivo,COMPLETADA,2026-12-21
